ID	209998_at	236974_at	205562_at	210039_s_at	205404_at	201820_at	208399_s_at	242310_at	230742_at	1556054_at	205481_at	218342_s_at	202294_at	230257_s_at	223699_at
C	6.699073351	6.64933193	7.163656854	6.120064535	6.242484044	5.632084734	5.11927007	5.472005513	4.948180625	4.088550747	8.137497104	7.671092391	7.831990977	7.560708005	8.745449391
C	7.172424731	6.405857324	7.318582819	6.825513914	6.701562026	5.47705196	5.541121293	5.003835889	4.932040985	3.60744329	8.094893711	8.218068143	7.835086979	7.533680393	10.29405789
C	7.019454631	6.866888487	7.088432826	6.723305344	6.428824913	6.03034727	5.893581722	5.421277125	4.731755121	3.977861891	8.294127007	7.919227351	7.410590816	7.883237468	9.016802913
C	6.899682918	6.47159249	7.123861503	6.743334308	6.714023871	5.591002883	5.671886251	5.206358583	4.568981421	4.005151296	7.926854884	7.813204892	7.611245873	7.494428419	10.26369064
C	7.042360405	6.715556121	7.131609425	6.492239741	6.185240569	5.679721906	5.611066946	5.272244735	4.562950283	4.470771214	7.867567828	7.754134664	7.538825982	7.602337548	8.65677908
C	6.757362307	6.592835633	7.201191989	6.865216103	7.212271177	5.535685706	5.900980067	5.107219916	4.697369591	3.809166456	8.137052266	8.30285511	7.697141043	7.918414118	10.45961705
C	7.002797197	6.759945477	7.147381721	6.458197551	7.095503627	5.693060228	5.324257926	5.102733853	4.796536351	3.930605807	8.366092683	8.103147562	7.831343314	7.841599441	10.47831992
C	6.892209884	6.476081277	7.124241823	6.437296644	6.204253081	6.018468398	5.74952934	5.206177181	4.472621549	3.788620567	8.214494695	8.171869591	7.590756762	7.901251016	9.772881267
C	6.80738984	6.690442339	7.103212452	6.428119515	6.907434155	5.737793757	5.494814699	5.077707337	4.458662994	3.362231047	8.336061336	8.132046669	7.622871721	7.451002981	9.715667433
C	6.962347218	6.596644932	7.098011323	6.680801523	7.286332637	5.825253358	5.878514246	4.836495578	4.274372828	3.870666513	8.336337551	8.219734293	7.530635142	7.645559054	10.16004103
C	6.948149438	6.83254485	7.264276813	6.416416192	6.478208893	5.31034321	6.012839358	5.007797481	4.639324355	3.703711295	8.284190531	7.972575126	7.494234128	7.51523331	9.799936371
C	7.015115019	6.528416884	7.239178604	6.653859983	5.767653316	5.679205482	5.889644463	5.42874469	4.455868576	3.994675207	8.374400798	8.123754506	7.567483654	7.597934025	10.13737941
C	6.701269277	6.685223236	7.1477965	6.436748835	6.432961548	5.77336285	5.649837954	5.029906753	4.638294021	4.06393029	8.22466603	7.983421186	7.617549492	7.430522026	9.317876672
C	6.727576655	6.947191268	7.121306532	6.431667393	6.069881867	5.595632062	5.542204783	5.228217748	4.713702001	4.185094694	7.988693005	7.856069897	7.579946375	7.601378218	8.09859453
